"","EVENT_DATE","EVENT_TYPE","JULIAN_DAY","DOY","WOY","AREA","ID","WEEK","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY"
"1","10/07/2020",1,2459040.5,192,28,1.3,"1",1,0.178992582849317,0.50941869627761,0.708874999317182,0.96859049514889,1.52053812909505,0.708874999317182,0.748700301579153,0.032183810273037,0.0638876985277596,0.101731978600424,0.316355424414508,0.425908274294658,0.457614953662121,0.933668161355779,-0.402889535931523,-0.412985539057947,0.960908908976876,0.00901605645479638,4.47848704997276
"2","10/07/2020",1,2459040.5,192,28,1.3,"1",2,0.133853834850145,0.492464843760394,0.672766937201868,0.916081906619909,1.50599628000949,0.672766937201868,0.709779922893786,0.0313386863066454,0.0622045022998814,0.0964771159674772,0.30909596074178,0.43763363281164,0.404823910122737,0.826294349749856,-0.389760134932389,-0.40275491363334,0.969362271097062,0.0332689258809944,4.47747889480626
"3","10/07/2020",1,2459040.5,192,28,1.3,"1",3,0.14937571269579,0.499160918485578,0.739954394729847,0.972770267028805,1.49672125922735,0.739954394729847,0.761450716983267,0.0335977130581675,0.0666877762991628,0.11104060044421,0.331548670916137,0.435754159424444,0.33468015074931,0.68465618391001,-0.65658085156973,-0.677258651669137,0.968474149553568,0.0210221388785536,4.47964210727835
"4","10/07/2020",1,2459040.5,192,28,1.3,"1",4,0.145796971319438,0.518304630690487,0.699646298907318,0.922240724376399,1.47465798914548,0.699646298907318,0.724083145154651,0.0305765475838373,0.0606959928571182,0.090504526828629,0.300757477895193,0.420788059239813,0.344840358448788,0.702402017383065,-0.416724350471764,-0.428879144995555,0.977336392463271,0.200349936741628,4.48106719558609
"5","10/07/2020",1,2459040.5,192,28,1.3,"1",5,0.110930602779082,0.452707501374861,0.679490701717532,0.879485059648843,1.35476201500903,0.679490701717532,0.678863775301764,0.0291980192686775,0.0579481562021628,0.0862945104076879,0.289434053570929,0.425757752538561,0.174393671916482,0.358457738855138,-0.549305383795478,-0.56953252202819,0.980479605244649,0.280510983335227,4.48711786871973
"6","10/07/2020",1,2459040.5,192,28,1.3,"1",6,0.129674043861592,0.479045126454496,0.683211273131703,0.886882463063087,1.52955888016922,0.683211273131703,0.716132602474957,0.0327400324878677,0.0649942420410089,0.103337278446314,0.321364324142391,0.452820091161057,0.524725125078101,1.06675841542528,-0.159215044751861,-0.164500438988518,0.954306414741193,0.203574303614363,4.46609131151699
"7","10/07/2020",1,2459040.5,192,28,1.3,"1",7,0.136440384739308,0.476418421670688,0.67051502722382,0.933949797987195,1.38496140005671,0.67051502722382,0.713434190530256,0.0313410368761136,0.0622175674702565,0.0948246164170734,0.307525533664079,0.434922178205325,0.301233703935875,0.611169677090178,-0.730220525674854,-0.750398754576395,0.966416572378663,0.0759411283886428,4.47066595569333
"8","10/07/2020",1,2459040.5,192,28,1.3,"1",8,0.174099744292605,0.440701230245763,0.638928234494511,0.818041335757222,1.36073664547599,0.638928234494511,0.653958066631953,0.0275729253109054,0.054730188933126,0.0744499484941784,0.271878922689971,0.426115825974901,0.3698605077366,0.754512529339279,-0.394480580321235,-0.406724856033337,0.965294154623466,0.138142750988669,4.48274375461916
"9","10/07/2020",1,2459040.5,192,28,1.3,"1",9,0.156967831065012,0.427794828946567,0.617748600727335,0.898703480770543,1.41394669235389,0.617748600727335,0.663029224589109,0.0306784965082467,0.0608859712097483,0.0928221123616829,0.304197111565516,0.458583206659798,0.432666904859323,0.89376117915125,-0.459997207353708,-0.473755491580786,0.95834784358174,0.0455452518047931,4.48178757236773
"10","10/07/2020",1,2459040.5,192,28,1.3,"1",10,0.129933092337583,0.461648218203268,0.657580732416248,0.870111687391779,1.40771494153563,0.657580732416248,0.678797929492902,0.0300627640450009,0.0596777612105697,0.0880473363461161,0.29539462904138,0.437480022128009,0.358320539728226,0.730883081718584,-0.454693788952247,-0.466166054429392,0.974702395035162,0.114247163626357,4.47073131494838
"11","10/07/2020",1,2459040.5,192,28,1.3,"1",11,0.140733398026207,0.472276069296983,0.662869417263039,0.929470635028449,1.48100307045005,0.662869417263039,0.719519217989677,0.033439190195613,0.0663713376301629,0.11010326747016,0.33030667479123,0.458893597139101,0.536079647650395,1.09635634647182,-0.537028559312219,-0.554926233855634,0.95361570787386,0.00588173919015727,4.47505575511216
"12","10/07/2020",1,2459040.5,192,28,1.3,"1",12,0.181090239801155,0.475131327842542,0.632296168849615,0.826158708831903,1.40922948432509,0.632296168849615,0.670604133393619,0.0267277927005765,0.0530615625044449,0.0688610845260158,0.261850402527819,0.393456953485873,0.590981174535238,1.19767130998509,0.236590805683292,0.240253578817432,0.960582796386675,0.100817797728451,4.48705444211476
"13","10/07/2020",1,2459040.5,192,28,1.3,"1",13,0.087625966460256,0.355264014925062,0.575575087726367,0.785298265657584,1.22635932053502,0.575575087726367,0.588178230696076,0.0294926393027774,0.0585366495569053,0.0862032899789897,0.291597844284869,0.497774045385801,0.304968121404309,0.626121257787867,-0.781120486222484,-0.806884116957564,0.962064874231354,0.0326527026199485,4.45332270160103
