"","EVENT_DATE","EVENT_TYPE","JULIAN_DAY","DOY","WOY","AREA","ID","WEEK","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY"
"1","10/07/2020",1,2459040.5,192,28,1.3,"1",1,-0.388514020092967,-0.317397881996974,-0.302877015491622,-0.29346314325452,-0.270392985752309,-0.302877015491622,-0.307365948408522,0.00214835391476457,0.00426444881640553,0.000447696180679173,0.0211588322144482,-0.0688392202324438,-1.22921987246213,-2.50886509147968,1.9432357373379,2.0019747123657,0.917462043462598,1.37110100208565e-05,4.57242448500106
"2","10/07/2020",1,2459040.5,192,28,1.3,"1",3,-0.415845950316037,-0.350348763474952,-0.332503888024883,-0.318667304320102,-0.293375394321767,-0.332503888024883,-0.337935217986524,0.00276430312617651,0.00548709833775286,0.000741213062018757,0.0272252284107729,-0.080563454063727,-0.89751182694193,-1.83184159502281,0.351800843139861,0.362434869955497,0.933048361870581,9.55958218929695e-05,4.57156660441243
"3","10/07/2020",1,2459040.5,192,28,1.3,"1",4,-0.424004917780851,-0.385984427141268,-0.366969500324465,-0.350049488617618,-0.315463226671134,-0.366969500324465,-0.368248127422971,0.00242506863888732,0.00481372320255644,0.000570452916621533,0.0238841561839964,-0.0648588666319625,-0.222316489669279,-0.453752898636724,-0.680276743240556,-0.700839744355359,0.984708342332632,0.322736658246174,4.57263606695321
"4","10/07/2020",1,2459040.5,192,28,1.3,"1",5,-0.446597353497165,-0.378885178525559,-0.310114237949289,-0.217238689547582,-0.0630452674897119,-0.310114237949289,-0.296784221513216,0.00988595539046829,0.0196234663544904,0.00948001505628592,0.0973653688756219,-0.328067874967154,0.43638892156601,0.890679492052512,-0.71293515935539,-0.734485339664028,0.958943030264563,0.00405585449074239,4.51547509564439
"5","10/07/2020",1,2459040.5,192,28,1.3,"1",8,-0.0736170802717316,-0.025237898220935,-0.0119533117704964,-0.0034823791614431,0.0294002352018816,-0.0119533117704964,-0.0142975581637905,0.00180520604093158,0.00358330567031475,0.000316100578470939,0.0177792176000784,-1.24351426980765,-0.549828899800637,-1.12221300997474,1.04747929063773,1.07914187213142,0.971939504043851,0.0355775592410361,4.43826543460098
"6","10/07/2020",1,2459040.5,192,28,1.3,"1",10,-0.248180494905386,-0.121306376360809,-0.0872549019607843,-0.0692124105011933,-0.000873743993010073,-0.0872549019607843,-0.0978117189101443,0.00474972723518357,0.00942813404585033,0.00218831115443853,0.0467793881366412,-0.478259544540011,-0.684798130779465,-1.39768821145223,0.751142982796874,0.773848086486074,0.959671354432037,0.00455704163325125,4.45640846172324
"7","10/07/2020",1,2459040.5,192,28,1.3,"1",11,-0.172560668059048,-0.0918450824365959,-0.0630628235635827,-0.0486442251339673,0.0098299723706811,-0.0630628235635827,-0.0701804130209465,0.00325072482668236,0.00645263778204104,0.00104201664875912,0.0320159265707628,-0.549685875194884,-0.614834831501281,-1.25489156198691,0.798400061307225,0.822533623881351,0.956094042319316,0.00260859935029975,4.4404909874245
"8","10/07/2020",1,2459040.5,192,28,1.3,"1",12,-0.198285442133672,-0.139791937581274,-0.107066026807877,-0.09056,-0.0519877675840979,-0.107066026807877,-0.115615546915327,0.00299290464539569,0.00594086876699314,0.000868875386993819,0.0294766922668372,-0.254954398896067,-0.52425285580417,-1.07001173549294,-0.418100550632468,-0.430738645605112,0.955297112415267,0.00228553266580674,4.54317836133123
"9","10/07/2020",1,2459040.5,192,28,1.3,"1",13,-0.259996888128209,-0.210412815773259,-0.183568677792041,-0.163804071246819,-0.129876233745888,-0.183568677792041,-0.187583498468181,0.00303102405542895,0.00601653519787363,0.000891149361985127,0.029852124915743,-0.159140463630956,-0.318785008638767,-0.650647290837296,-0.765746580834566,-0.788893113406516,0.971060091024861,0.0305460499055624,4.56227915851788
"10","10/07/2020",1,2459040.5,192,28,1.3,"1",14,-0.317462709055296,-0.259742325433434,-0.228635923895518,-0.213041393639124,-0.185554171855542,-0.228635923895518,-0.236242842753393,0.00291280511430741,0.00578187245442259,0.000822990062491735,0.0286878033751581,-0.121433534412319,-0.383142125300764,-0.78200159692914,-0.709366157725758,-0.730808456374147,0.963948607960996,0.00915117281278568,4.56748925347401
