"","EVENT_DATE","EVENT_TYPE","JULIAN_DAY","DOY","WOY","AREA","ID","WEEK","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY"
"1","10/07/2020",1,2459040.5,192,28,1.3,"1",1,0.642267656450877,0.663894911900301,0.677667885818166,0.694206404526631,0.756468736928072,0.677667885818166,0.68020035159587,0.00224694741116964,0.00446015535998774,0.000489730948850509,0.0221298655407237,0.0325343341690476,0.718521168932666,1.46651768215688,0.352772793591549,0.363436199947821,0.962025446919515,0.00667035559205896,4.57419101578532
"2","10/07/2020",1,2459040.5,192,28,1.3,"1",3,0.683783783783784,0.716496197220037,0.729418587168968,0.746416181187406,0.795407937592987,0.729418587168968,0.732671164662033,0.00242911963298813,0.00482176436229263,0.000572360352562734,0.0239240538488512,0.0326531942333051,0.322107648647181,0.657428872973587,-0.14477060726936,-0.149146647150555,0.984909708330186,0.333342348114673,4.57418496145213
"3","10/07/2020",1,2459040.5,192,28,1.3,"1",4,0.678452301534356,0.732600732600733,0.750598457310045,0.768810351904258,0.795947778908104,0.750598457310045,0.747705655726815,0.00263612762547641,0.00523267197974162,0.000674069379206589,0.0259628461307036,0.0347233512704489,-0.525261670934841,-1.07207074960571,-0.152150024995651,-0.156749125530382,0.972259292316751,0.0376115145878368,4.57411031761076
"4","10/07/2020",1,2459040.5,192,28,1.3,"1",5,0.183515615253462,0.45884846344048,0.628084456881201,0.695146958304853,0.95217269935796,0.628084456881201,0.577660492273481,0.0167207218259475,0.0331903705018369,0.0271195062229295,0.164680011607145,0.285080966778633,-0.435976624601574,-0.889837984780649,-0.47614576943689,-0.490538420788014,0.944944350500666,0.000488387066527621,4.53100168946208
"5","10/07/2020",1,2459040.5,192,28,1.3,"1",8,0.366157353618169,0.438202247191011,0.454216034519751,0.467520754804246,0.501357907198069,0.454216034519751,0.451986514501307,0.00228601889931179,0.00453771165097774,0.000506910593577037,0.0225146750715403,0.0498127142053818,-0.575276874003896,-1.17415289116097,0.939933077152656,0.968344815618475,0.977231652228689,0.0898564692058171,4.57346909088273
"6","10/07/2020",1,2459040.5,192,28,1.3,"1",10,0.412545717183514,0.528268880038709,0.550012348728081,0.570515732412707,0.617101540396102,0.550012348728081,0.547148351980005,0.00350717200690761,0.00696168141152235,0.00119312478214553,0.034541638382473,0.0631302977656327,-0.855911095569855,-1.74693357729741,1.79783292588416,1.85217675113839,0.953983247735304,0.00186607480212219,4.5726957984734
"7","10/07/2020",1,2459040.5,192,28,1.3,"1",11,0.425031157890627,0.523529768702276,0.544801158061525,0.571968000880088,0.639056790454366,0.544801158061525,0.546749922280059,0.00374083261255679,0.0074254940479568,0.00139780457363809,0.0368429284613933,0.0675675582616753,-0.2872815121481,-0.58634795401753,0.899449267678961,0.926637285611027,0.974519669952577,0.227126532991892,4.57236046738015
"8","10/07/2020",1,2459040.5,192,28,1.3,"1",12,0.478502781992919,0.548147015343834,0.56869715359419,0.597162773633362,0.646149785232645,0.56869715359419,0.57303422274893,0.00346807682614761,0.00688407809105759,0.00116667301659002,0.0341565955064321,0.0596065542867194,0.0216579090743051,0.0442042739856851,-0.497527635029095,-0.512566604706367,0.98522175196733,0.350331182909116,4.57295090826304
"9","10/07/2020",1,2459040.5,192,28,1.3,"1",13,0.564306443621263,0.618996723901578,0.635472764191754,0.658082587873859,0.702261165766533,0.635472764191754,0.638853366598961,0.00310826781321817,0.00616986284524828,0.000937148893472741,0.0306128877022855,0.047918488502703,0.123319314453125,0.251697462811872,-0.667297821591965,-0.687468503576383,0.980385546642472,0.155907221271162,4.57357595762549
"10","10/07/2020",1,2459040.5,192,28,1.3,"1",14,0.635788101666511,0.672909459620661,0.691824198847674,0.713468309859155,0.750791660467983,0.691824198847674,0.694035417370456,0.00268982523795069,0.00533926089806927,0.000701810501639497,0.0264917062802587,0.0381705394526259,0.0141618487113542,0.0289046481095086,-0.698771521301959,-0.719893571576789,0.98636192688677,0.418157797280564,4.57398971635226
