"","EVENT_DATE","EVENT_TYPE","JULIAN_DAY","DOY","WOY","AREA","ID","WEEK","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY"
"1","10/07/2020",1,2459040.5,192,28,1.3,"1",1,0.820187676549415,1.30281020622335,1.66898637676368,2.1006473052686,4.6338494579605,1.66898637676368,1.79869114403538,0.0735609788959302,0.146017389048656,0.524888108764366,0.72449162090694,0.402788229268498,1.4988847161793,3.05925703352191,2.99213450571764,3.08257896936874,0.881343509226157,2.90014842061756e-07,4.50275988602326
"2","10/07/2020",1,2459040.5,192,28,1.3,"1",2,0.389361873251749,0.698850429123493,0.87405993902339,1.04927142827471,2.17227366745391,0.87405993902339,0.904701353787015,0.0322361605832628,0.0639882730214952,0.100799494767541,0.317489361660419,0.350932780559498,1.16157033268829,2.37079087660933,1.97154704069958,2.03114179298035,0.929222011177807,5.82289116434707e-05,4.51782547020891
"3","10/07/2020",1,2459040.5,192,28,1.3,"1",3,0.42609190662814,0.738424551262506,1.00677064215119,1.26666248176067,2.98410350419326,1.00677064215119,1.09116522712518,0.0514453386225607,0.10214592580986,0.251429172269043,0.501427135553156,0.45953364631517,1.43839855136338,2.90628376152429,2.524459961941,2.57508542164481,0.88311336518251,4.31771534269448e-07,4.46024418233379
"4","10/07/2020",1,2459040.5,192,28,1.3,"1",4,0.408252633091125,0.62653320977507,0.742857261640611,1.03349767977083,1.6318106445159,0.742857261640611,0.845898696501669,0.029497933455913,0.0585529351323207,0.0844024235824388,0.290520952054131,0.343446506367276,0.615570830245468,1.25639375178878,-0.437008830983845,-0.450218474217998,0.946416553799662,0.000603743943897536,4.51801595221711
"5","10/07/2020",1,2459040.5,192,28,1.3,"1",5,0.379018295795897,0.81680018022019,1.12686523067841,1.45833855019129,2.80414861696212,1.12686523067841,1.2038214271941,0.0495252817617502,0.0982939750064212,0.240369846290913,0.490275276034712,0.407265782913883,0.955203086353986,1.95931873809986,0.823101785454483,0.852137884204645,0.937113472137663,0.000151563305694214,4.50730518847797
"6","10/07/2020",1,2459040.5,192,28,1.3,"1",6,0.466381735192805,0.917901912925318,1.19203572516127,1.55327976674021,3.51362161229869,1.19203572516127,1.28968001211741,0.053865298731447,0.106936138360729,0.278541159113091,0.527769986938525,0.409225530348436,1.27356687980559,2.58634292371873,2.62200198354039,2.68795418964099,0.918000740644394,1.60589115978016e-05,4.48787818446689
"7","10/07/2020",1,2459040.5,192,28,1.3,"1",7,0.637782922073002,0.903018135154106,1.06297458520097,1.41821461886815,3.39845444316278,1.06297458520097,1.24226927211488,0.0520887439641109,0.103409231226092,0.260470775784835,0.510363376218195,0.410831522339223,1.77699174592445,3.6086915421983,3.56119580540905,3.65077190840109,0.821768179044958,2.09718665477881e-09,4.49241454215362
"8","10/07/2020",1,2459040.5,192,28,1.3,"1",8,0.563616123682554,0.964473219423147,1.224480052328,1.5043726463168,3.15721348693811,1.224480052328,1.30128785222678,0.0485552830482798,0.0963687960693928,0.23104632016606,0.480672778682192,0.369382360605041,1.12816388435927,2.31409704370814,1.64946688971742,1.70765420547997,0.928125715026432,4.64104921681604e-05,4.52194808865922
"9","10/07/2020",1,2459040.5,192,28,1.3,"1",9,0.302852477688182,0.644008231432814,0.868533213880235,1.18508565504961,2.53719252837527,0.868533213880235,0.956113613328235,0.0430262305409214,0.0853841541986374,0.183274394941491,0.4281055885427,0.44775598064383,1.07005298484717,2.20574335626412,1.36152233422837,1.41639282963779,0.930123289489676,5.50730234326872e-05,4.50214799558207
"10","10/07/2020",1,2459040.5,192,28,1.3,"1",10,0.47653767161424,0.986238092723792,1.32068867830768,1.75088135792674,3.19272788289708,1.32068867830768,1.41040524860235,0.0584481244123101,0.116003347700142,0.334785958237054,0.578606911674112,0.410241604140005,0.76009183632784,1.55910528228964,0.143481431535727,0.148542945298069,0.949955598872813,0.000946739456694702,4.50470915702247
"11","10/07/2020",1,2459040.5,192,28,1.3,"1",11,0.692247095869554,1.28615102820115,1.62097099606998,2.31061687624901,3.74010227882299,1.62097099606998,1.79428879002466,0.0709239894887307,0.140746348884288,0.49799101621476,0.70568478530769,0.393294986420771,0.659397478103809,1.35924260486272,-0.247803106446632,-0.257789780093395,0.948396151551968,0.000699198036476655,4.52081680179362
"12","10/07/2020",1,2459040.5,192,28,1.3,"1",12,0.324769036334292,0.574654400458962,0.784062636560094,1.07454401076854,2.34478913776607,0.784062636560094,0.856340563292751,0.0390670870710939,0.0775475549330033,0.148045017345382,0.384766185293591,0.449314445428242,1.32658421524608,2.70758788000426,2.0740799229314,2.13677397824228,0.897018272681996,1.40683033668153e-06,4.48417757318646
"13","10/07/2020",1,2459040.5,192,28,1.3,"1",13,0.398932967534574,0.773704253045032,1.02785748293618,1.41850059841978,2.81266317809168,1.02785748293618,1.13517979798085,0.0487665889439642,0.0968009139802334,0.230683479131268,0.480295199987745,0.423100552742436,0.938721402697638,1.91595125543783,0.843892687510502,0.869401374153808,0.939759409726085,0.000235740342332421,4.49065161574203
"14","10/07/2020",1,2459040.5,192,28,1.3,"1",14,0.374894258426973,0.803441437606751,0.95563892619753,1.12771762343617,1.86169999286504,0.95563892619753,0.995387858439621,0.0314018811170636,0.0623160110871571,0.0976217356313291,0.312444772129938,0.313892488722667,0.773118031550622,1.59365936626431,0.557173270812167,0.579627822331275,0.946189451168606,0.000504829573001874,4.54786475158715
