"cwithin","chalf","call","week","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","date"
67,67,67,3,"s1_bs_VH_rAD",67,0.759514090841096,1.60846321610643,2.32671122283411,3.40674138108823,17.1118529260094,2.32671122283411,3.06756240271603,0.350645127841031,0.700085585926386,8.23778438046974,2.87015406911715,0.935646514175526,3.17186970671519,5.41577363721424,11.2865537838961,9.76351809731019,0.621631667396829,7.31002923480015e-12,3.92129070605093,"20200116T165850"
67,67,67,3,"s1_bs_rAD",67,0.616429385858861,1.09135292038171,1.46772045391218,2.25136702942564,4.74593947196134,1.46772045391218,1.7680698644579,0.11184073936332,0.223297240802123,0.838059515749376,0.915455905955812,0.51777134170911,1.18801812110761,2.02846832176172,1.27234255526326,1.10064948097935,0.896311224102264,4.01238650044196e-05,4.08435677110588,"20200116T165850"
72,72,72,4,"s1_bs_VH_rAD",72,0.285465138061584,0.673206025938455,1.05929776960947,1.89396138123441,3.67510398755422,1.05929776960947,1.31135463928272,0.0958863882133923,0.191192027844764,0.661982360011875,0.813622983950106,0.620444660488742,0.812416219737632,1.4358815783572,-0.322642851207925,-0.28867647471205,0.899517340956668,2.92700324593e-05,4.09620452778567,"20200123T165043"
72,72,72,4,"s1_bs_rAD",72,0.548208539526453,1.12264925211948,1.41184480872278,1.81501240435866,4.42645161747983,1.41184480872278,1.5964179156401,0.0844931630126976,0.168474582017468,0.514014810904101,0.716948262362146,0.449098106039907,1.73263717082164,3.06229951485112,3.80468330308912,3.40414349556984,0.849092610951554,4.68532412347992e-07,4.19028345121238,"20200123T165043"
67,67,67,5,"s1_bs_VH_rAD",67,0.657930297672755,1.49694531770981,1.96970297632765,2.86512136738166,7.96316992196722,1.96970297632765,2.31671985756003,0.160749666543007,0.320947064578217,1.7313105046771,1.31579272861538,0.56795504399102,1.64877459739023,2.81518184033538,3.93208303539268,3.40147795432116,0.869503339300466,4.44653984824667e-06,4.06513963377853,"20200201T051721"
67,67,67,5,"s1_bs_rAD",67,0.560029659200484,1.23972342467866,1.50177526363348,1.94579342764857,3.52588533756473,1.50177526363348,1.62286047357807,0.0781502196216658,0.156031947829927,0.409199607403278,0.639687116802643,0.39417259044597,0.85802362831922,1.46502289691163,0.620512125452449,0.536778673318298,0.946544674769789,0.00609724260650536,4.13124196345,"20200201T051721"
69,69,69,6,"s1_bs_VH_rAD",69,0.196611115805469,0.89911305901636,1.43760855263253,2.63019087777416,10.3500680308808,1.43760855263253,2.17610285659162,0.231413460238139,0.461778370219882,3.69510108097782,1.92226457101457,0.883351889912669,1.89864588766932,3.28785018359188,4.06518762920382,3.5653567992184,0.796875633336981,2.33931892034142e-08,3.9235588119447,"20200209T165849"
69,69,69,6,"s1_bs_rAD",69,0.406177414026166,0.986871821325382,1.35677465631251,1.81432705011218,4.03221606739449,1.35677465631251,1.51699117127481,0.095819857451842,0.191205548559187,0.633519710664301,0.795939514450879,0.524683023555113,1.14822713461505,1.98836382279979,1.21112473155134,1.06221217572283,0.907633934968756,8.81407597523384e-05,4.10885059012264,"20200209T165849"
69,69,69,7,"s1_bs_VH_rAD",69,0.761971562828605,1.66161990839123,2.51042571096145,3.99205110051242,6.89057572297115,2.51042571096145,2.91151175589416,0.192101234023945,0.383332044184116,2.54629900383305,1.59571269463931,0.548070153386432,0.672825929659839,1.16512029479757,-0.449114541134203,-0.393894139438354,0.935992448591019,0.00156903984161657,4.0893321787882,"20200216T165042"
69,69,69,7,"s1_bs_rAD",69,0.831079165794943,1.8635436041493,2.49398947187019,3.49308658562485,6.69686244974253,2.49398947187019,2.73309330443688,0.15903147669221,0.317342370858715,1.74507972994444,1.32101465924661,0.4833404908285,0.893938684643739,1.54801718820445,0.350532769163105,0.307433384601071,0.93108593006882,0.00092171449835326,4.1248549134513,"20200216T165042"
