"cwithin","chalf","call","date","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","hist.0","hist.1","hist.2","hist.3","hist.4","hist.5","hist.6","hist.7","hist.8","hist.9","hist.10","hist.11"
185,205,242,2020-01-04,"GARI",185,-0.0464500601684718,-0.00766589850914731,0.00626106912120528,0.0236704580387334,0.0604288499025342,0.00626106912120528,0.00788565748753189,0.0017000298847545,0.00335405788290566,0.000534668797675805,0.0231229063414573,2.93227373595888,0.105290763582555,0.294680107967055,-0.627794346422151,-0.883069856853547,0.989087617478239,0.168120732804701,6.8128945760051,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-01-04,"NDVI",185,0.0685005393743258,0.0862554389557205,0.0926437358774793,0.0989231154520411,0.115009746588694,0.0926437358774793,0.092622018542287,0.000676414351906654,0.00133452529833066,8.46442294610803e-05,0.00920022985914375,0.0993309150884392,-0.00759287868146843,-0.0212503949397378,-0.326775403085514,-0.459649740509041,0.995749383538474,0.884761031447653,5.21542572953523,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-01-04,"BSI",185,-0.119952228110771,-0.0979561924924679,-0.0878898945321267,-0.0811155378486056,-0.0627188793377905,-0.0878898945321267,-0.090122488958386,0.000916060226070146,0.00180733235928415,0.000155245772490722,0.0124597661491186,-0.138253684436877,-0.342039707156628,-0.957275779987163,-0.618519457589055,-0.870023586524972,0.972330719753427,0.000987636118409259,5.21093056726727,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-01-09,"GARI",185,-0.0272750080642271,0.0416074690481023,0.071444331671153,0.0956920477856885,0.155105933081803,0.071444331671153,0.0690234447542936,0.00266419334176693,0.00525629505673576,0.00131311634002832,0.0362369471676122,0.524994765135336,-0.139248754883713,-0.389719256725088,-0.594671791568306,-0.836478915185939,0.990663775069755,0.272884322413433,5.08084365358995,0,0,0,0,0,0,0,0,6,0,0,179
185,205,242,2020-01-09,"NDVI",185,-0.0191543187567763,0.0169361046959199,0.0270270270270271,0.036050156739812,0.0570071258907364,0.0270270270270271,0.0264675297434469,0.00100701206562358,0.00198677493094402,0.000187603560557622,0.0136968449125199,0.517496156433378,-0.361849691483978,-1.01271851894909,0.162473245207257,0.228538575100875,0.988558550377791,0.142282582098501,5.12249487210983,0,0,0,0,0,0,0,0,6,0,0,179
185,205,242,2020-01-09,"BSI",185,-0.206257627870853,-0.190662347816374,-0.179122985007327,-0.167423682264709,-0.108443540183113,-0.179122985007327,-0.177165979185439,0.00128604948823311,0.00253729917485418,0.000305975807944157,0.0174921641869769,-0.0987332007386583,0.92513069711027,2.58918830514834,0.95098991983539,1.33768412723727,0.946155879968849,1.92139007228978e-06,5.21532246107132,0,0,0,0,0,0,0,0,6,0,0,179
185,205,242,2020-01-14,"GARI",185,0.203380341766415,0.268938913280715,0.302727326510087,0.330433521821082,0.409401685154189,0.302727326510087,0.302720561122842,0.00298852690414375,0.00589618589120656,0.00165228921550634,0.0406483605512737,0.134276840662894,0.215519049643066,0.603178993644395,-0.55110030842935,-0.775190272499531,0.988238753342854,0.128544620269799,5.21141112699925,0,0,0,0,8,0,0,177,0,0,0,0
185,205,242,2020-01-14,"NDVI",185,0.405536963796775,0.448162729658793,0.469314079422383,0.491116751269036,0.535453749635249,0.469314079422383,0.469810911002171,0.00202111663671767,0.00398754295347792,0.000755708804955135,0.02749015832903,0.0585132394443324,0.0524853868896802,0.146892271924848,-0.658042203690334,-0.925617183283243,0.988663520280528,0.147089643148822,5.21865264683729,0,0,0,0,8,0,0,177,0,0,0,0
185,205,242,2020-01-14,"BSI",185,-0.107585139318885,-0.0435100548446069,-0.0267699894328989,-0.0102278844428494,0.0285611640021555,-0.0267699894328989,-0.0281458238993478,0.00184139560765653,0.00363296404892326,0.000627286490020902,0.0250456880524553,-0.889854499979148,-0.365376233848444,-1.02258834845124,-0.119469536525417,-0.16804857692509,0.98803983609895,0.120651942080329,5.0289775869371,0,0,0,0,8,0,0,177,0,0,0,0
185,205,242,2020-01-19,"GARI",185,0.157823878587602,0.256092688773472,0.290131676283474,0.328540168802751,0.434568351889031,0.290131676283474,0.294127933527433,0.00361293736887174,0.00712811061216059,0.00241486353980712,0.0491412610726172,0.167074444386405,0.200086814140156,0.55998837872778,-0.360159243583901,-0.506608212528012,0.991612106603844,0.359933409337458,5.20645751711924,0,0,1,0,0,0,0,52,132,0,0,0
