"cwithin","chalf","call","date","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","hist.0","hist.1","hist.2","hist.3","hist.4","hist.5","hist.6","hist.7","hist.8","hist.9","hist.10","hist.11"
105,133,163,2020-01-04,"B04",105,0.3874,0.397,0.4024,0.4064,0.412,0.4024,0.401230476190476,0.000561093783679143,0.00111267002891248,3.30567545787545e-05,0.00574950037644616,0.0143296701462844,-0.45568035949168,-0.966555492182409,-0.65254888072276,-0.69819440183136,0.962319561398621,0.0044585620206781,4.65385842645064,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-01-04,"B08",105,0.2312,0.2351,0.2399,0.2412,0.2457,0.2399,0.238742857142857,0.000364610930031278,0.000723037156818156,1.39588186813187e-05,0.00373615024876124,0.0156492650438779,-0.3049413807283,-0.646819113874946,-0.929814161658621,-0.994854273130509,0.946692579350609,0.000353437300161974,4.65383886142024,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-01-09,"B04",105,0.1506,0.168,0.1782,0.1904,0.2258,0.1782,0.180746666666667,0.00155857610104847,0.00309071489625981,0.000255061743589744,0.015970652572445,0.0883593200747546,0.626801455103538,1.3295249099919,-0.161482622890047,-0.172778264779182,0.95487908333101,0.00128048292220941,4.65015255384579,0,0,0,0,0,0,0,0,105,0,0,0
105,133,163,2020-01-09,"B08",105,0.1387,0.1834,0.1954,0.2098,0.233,0.1954,0.194880952380952,0.00202848447336375,0.0040225608325699,0.000432048672161172,0.0207857805280719,0.106658861597925,-0.533830232434309,-1.13232122540453,-0.130820396099089,-0.139971228056631,0.966488032643131,0.00927525347269038,4.64818398005937,0,0,0,0,0,0,0,0,105,0,0,0
105,133,163,2020-01-14,"B04",105,0.0815,0.0909,0.0944,0.099,0.1114,0.0944,0.0950628571428571,0.000619825476356663,0.00122913717948591,4.03392802197802e-05,0.00635132113971418,0.0668118056894675,0.358688827037966,0.760824223683362,-0.364887341281351,-0.390411058095134,0.977182814298177,0.0668784475919948,4.65176325154255,0,0,0,0,0,64,0,41,0,0,0,0
105,133,163,2020-01-14,"B08",105,0.1987,0.2096,0.2138,0.2203,0.2448,0.2138,0.215630476190476,0.000903938395224899,0.00179254375936045,8.57959853479853e-05,0.00926261223133007,0.0429559512874608,0.949273841519314,2.0135294971438,1.23202914472927,1.31820906778709,0.932496984207105,4.57585737431804e-05,4.65305792877145,0,0,0,0,0,64,0,41,0,0,0,0
105,133,163,2020-01-19,"B04",105,0.2902,0.416,0.43,0.4428,0.4632,0.43,0.42184380952381,0.00329996556864309,0.00654395555872345,0.00114342613919414,0.0338145847112476,0.080159016080901,-1.80911772995064,-3.83736678894603,3.38754004446586,3.62449705285829,0.805806941587024,1.89532751080337e-10,4.65059666563274,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-01-19,"B08",105,0.2529,0.3382,0.3553,0.3603,0.3755,0.3553,0.3436,0.00255147590700545,0.00505967247151092,0.000683553076923077,0.026144847999617,0.076090942955812,-1.6434271272436,-3.48591613123467,1.98748019396573,2.12650360175413,0.764826916744712,1.12892190727707e-11,4.65095625111414,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-01-24,"B04",105,0.5224,0.6584,0.776,0.872,1.0456,0.776,0.767977142857143,0.0134024357619703,0.0265775330622747,0.0188606548571429,0.137334099396846,0.178825764118338,0.0630192073118666,0.133671683827265,-0.960049846955299,-1.02720493195977,0.974393611237261,0.0395465095154745,4.63800777678644,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-01-24,"B08",105,0.4244,0.5951,0.7165,0.7861,0.9219,0.7165,0.687732380952381,0.0126907680742193,0.0251662693310784,0.0169108374029304,0.130041675638737,0.189087614950823,-0.294545809816902,-0.624768797354849,-0.831415368407843,-0.889572525472677,0.964804776378486,0.00688035002267981,4.63566385497482,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-01-29,"B04",105,0.2972,0.392,0.4232,0.4492,0.5204,0.4232,0.420744761904762,0.0048518743745896,0.00962144895859594,0.00247177191941392,0.0497169178390407,0.118164080317878,-0.155345433666962,-0.329507249914733,-0.226871484792379,-0.242741050205716,0.986476444545428,0.368448536726105,4.64695517802005,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-01-29,"B08",105,0.2596,0.3198,0.3458,0.3655,0.4211,0.3458,0.346167619047619,0.00374380232545529,0.00742410050311487,0.00147168586446886,0.0383625581064254,0.110820758486796,-0.144256701694606,-0.305986651394368,-0.455008184799941,-0.486835816901413,0.9818203923316,0.160096596278419,4.64781212555016,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-02-03,"B04",105,0.468,0.482,0.4868,0.4912,0.5016,0.4868,0.48647619047619,0.000625094166985951,0.00123958519071923,4.10279853479853e-05,0.00640530915319357,0.0131667474762201,-0.124391837342051,-0.263850769648578,-0.0818038385767164,-0.0875259828494677,0.991014420093322,0.716796781166873,4.65387443940452,0,0,0,0,0,0,0,0,0,105,0,0
105,133,163,2020-02-03,"B08",105,0.271,0.2735,0.2754,0.2792,0.2844,0.2754,0.276268571428571,0.000353266583349691,0.000700540891635128,1.31037142857142e-05,0.00361990528684305,0.0131028486813563,0.603769561696962,1.28067136034074,-0.68116185383524,-0.728808840438256,0.930625929236625,3.55072448880116e-05,4.65387554611041,0,0,0,0,0,0,0,0,0,105,0,0
