"cwithin","chalf","call","date","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","hist.0","hist.1","hist.2","hist.3","hist.4","hist.5","hist.6","hist.7","hist.8","hist.9","hist.10","hist.11"
97,129,162,2020-01-04,"B04",97,0.4232,0.4348,0.4388,0.4448,0.4548,0.4388,0.439529896907216,0.000699116042491281,0.00138773437627886,4.74100343642611e-05,0.00688549448945107,0.0156655884796492,0.0135209748531784,0.0275966103150996,-0.710645539689146,-0.732126510735204,0.987102328712034,0.466930212529294,4.57458953533346,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-04,"B08",97,0.2684,0.2738,0.2757,0.2796,0.2844,0.2757,0.276155670103093,0.000423067592554393,0.000839782533934046,1.73616602233677e-05,0.00416673255961643,0.0150883469387427,0.0592226188168073,0.120874681823917,-0.661750396890867,-0.681753394618184,0.969401989086274,0.0229552583792196,4.57459834670565,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-09,"B04",97,0.347,0.3664,0.386,0.3974,0.4144,0.386,0.382463917525773,0.00191570096632251,0.0038026363637186,0.000355981288659794,0.0188674664080738,0.0493313631521917,-0.224283152947339,-0.457766902116131,-1.13100882214468,-1.16519628467622,0.955380900465278,0.00231544033785615,4.57350130646435,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-09,"B08",97,0.2974,0.3143,0.3251,0.3319,0.349,0.3251,0.323253608247423,0.00120302816473844,0.00238799203332545,0.000140385846219931,0.0118484533260646,0.036653738809918,-0.470709542758076,-0.960728643026782,-0.50507354730149,-0.520340610330492,0.953495300017601,0.0017316235890107,4.57404190869955,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-14,"B04",97,0.0779,0.087,0.0909,0.094,0.1086,0.0909,0.0910134020618557,0.000572783770339549,0.00113696679801869,3.18238810137457e-05,0.00564126590525085,0.061982804482101,0.623835214638722,1.27326154409454,0.421804585673736,0.434554644016346,0.969903102417369,0.0250186805635921,4.57283060365608,0,0,0,0,4,93,0,0,0,0,0,0
97,129,162,2020-01-14,"B08",97,0.2192,0.233,0.2367,0.2423,0.2575,0.2367,0.237857731958763,0.000887963415447148,0.00176259344886849,7.64824656357388e-05,0.00874542541193616,0.0367674632223112,0.538350581163446,1.09878550641507,0.138323721050589,0.142504888286467,0.951503114707329,0.00127976680544185,4.57404601540061,0,0,0,0,4,93,0,0,0,0,0,0
97,129,162,2020-01-19,"B04",97,0.2788,0.3352,0.3742,0.4004,0.4312,0.3742,0.367649484536082,0.00412002071747685,0.00817817648733904,0.00164653335910653,0.0405774981868834,0.110370066853449,-0.348360920353578,-0.71101238426956,-1.00480919236759,-1.03518196748907,0.953808015020528,0.00181657031672694,4.56857854067296,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-19,"B08",97,0.2313,0.2681,0.2939,0.3158,0.3395,0.2939,0.28850412371134,0.00324724338470293,0.0064457271743304,0.0010228251911512,0.0319816383437622,0.110853314442608,-0.307653343615493,-0.627927315011492,-1.08175545463444,-1.11445411564353,0.93913814846388,0.000216441620290231,4.56853477337568,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-24,"B04",97,0.58,0.632,0.6896,0.7232,0.7808,0.6896,0.681092783505155,0.00558706322189891,0.0110902328429535,0.00302788171821306,0.0550261912021272,0.0807910354283041,-0.182286121577443,-0.372050027283428,-1.05891484372724,-1.09092309232372,0.957195794795008,0.00307492941283724,4.57145798321611,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-24,"B08",97,0.417,0.4682,0.5163,0.56,0.612,0.5163,0.513469072164948,0.00569579530077237,0.0113060643136765,0.00314688215850515,0.0560970779854455,0.10925113317716,-0.0817922958530825,-0.166939894493203,-1.13746116549425,-1.17184366562601,0.955856635901448,0.00249322333347975,4.5687643435035,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-29,"B04",97,0.4416,0.46,0.4784,0.4928,0.5132,0.4784,0.477360824742268,0.0019022925199355,0.00377602080799849,0.000351015532646048,0.0187354085262651,0.0392478970941542,-0.103225586063159,-0.210685716382582,-1.20334121979133,-1.23971510305269,0.956985860175693,0.00297505865096953,4.57394732246317,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-01-29,"B08",97,0.3504,0.3821,0.3989,0.4128,0.4345,0.3989,0.398243298969072,0.00208478157937766,0.00413825872801566,0.000421592480670103,0.0205327173230945,0.051558224272065,-0.163939643622176,-0.334604457841587,-0.849589633634072,-0.875270524179178,0.974343840363946,0.0541261611607396,4.57339052047049,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-03,"B04",97,0.7548,0.7724,0.7772,0.7892,0.8264,0.7772,0.782028865979381,0.00154915171802278,0.00307504185644328,0.000232787491408935,0.0152573749842145,0.0195099895259068,0.934813175566667,1.90797447696383,0.277792846153441,0.286189803218189,0.916999775143966,1.29820686231162e-05,4.57452373900878,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-03,"B08",97,0.3598,0.3643,0.3737,0.3829,0.3883,0.3737,0.373027835051546,0.000942684965793857,0.00187121486780889,8.61995296391752e-05,0.00928437017999472,0.024889215515812,0.161280812360298,0.329177724116806,-1.59572126076699,-1.64395577472048,0.882005347662624,3.0922794674739e-07,4.57440480489512,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-08,"B04",97,0.3176,0.3362,0.3672,0.3814,0.3964,0.3672,0.360843298969072,0.00240477265074136,0.00477343598449988,0.000560944355670103,0.0236842638828,0.065635870059014,-0.29180640802625,-0.595583367116193,-1.40030479738492,-1.44263237861682,0.910071491419243,5.83120455643733e-06,4.57256286242679,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-08,"B08",97,0.3791,0.4033,0.4274,0.4529,0.4604,0.4274,0.426426804123711,0.00272127275733448,0.00540168373068241,0.00071831656572165,0.0268014284268889,0.0628511814166201,-0.162090153285165,-0.330829606940208,-1.56072315326552,-1.60789976522438,0.881699065573145,3.0017544513182e-07,4.57274759261545,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-13,"B04",97,0.3184,0.3254,0.3286,0.3322,0.3382,0.3286,0.329,0.000460240486965156,0.000913570146153291,2.05466666666666e-05,0.00453284311074922,0.0137776386344961,0.0859731418260861,0.175473094085488,-0.842948594067701,-0.86842874321548,0.971955717148335,0.0356779163780062,4.57461707630542,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-13,"B08",97,0.2292,0.2305,0.2319,0.2324,0.2357,0.2319,0.231676288659794,0.000159437997594845,0.000316481923886323,2.46578608247422e-06,0.00157028216651474,0.00677791488977376,0.709040314343664,1.4471670471333,0.364474642021059,0.375491764897396,0.930902160912138,7.22725652229175e-05,4.574688281452,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-18,"B04",97,0.3514,0.4038,0.4408,0.462,0.4872,0.4408,0.432447422680412,0.00358450365272386,0.0071151835152518,0.0012463206443299,0.035303266765696,0.0816359744888244,-0.36822049676909,-0.751546221312605,-0.936794573023127,-0.965111442651292,0.957128872040818,0.00304271629842117,4.57137168416046,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-18,"B08",97,0.3158,0.3546,0.3863,0.3956,0.4159,0.3863,0.376289690721649,0.00245613470521362,0.00487538885683488,0.000585161975945017,0.0241901214537054,0.0642859000662853,-0.431399755995292,-0.880496494188255,-0.938646177967958,-0.96701901681001,0.9376923261029,0.000177691093960441,4.57264377599721,0,0,0,0,0,0,0,0,0,97,0,0
97,129,162,2020-02-23,"B04",97,0.8256,0.8504,0.86,0.8752,0.888,0.86,0.86119587628866,0.00155897242177919,0.00309453579932786,0.000235748316151203,0.0153540976990249,0.0178288100556098,-0.229779180271509,-0.46898441608929,-0.935501620895934,-0.963779407935583,0.965333867267764,0.0115230911416706,4.57455344919755,0,0,0,0,0,0,0,0,37,60,0,0
97,129,162,2020-02-23,"B08",97,0.3475,0.3739,0.3883,0.4015,0.4217,0.3883,0.388226804123711,0.00160012182436229,0.00317621671788384,0.00024835781572165,0.0157593723136948,0.0405932103252534,0.0799916269089801,0.163264689140298,-0.505742861624558,-0.521030156289152,0.982087825705135,0.208866370809636,4.57389589445,0,0,0,0,0,0,0,0,37,60,0,0
97,129,162,2020-02-28,"B04",97,0.8528,0.8944,0.9416,0.984,1.1136,0.9416,0.944445360824742,0.00617724422895964,0.0122617328829275,0.00370135958762887,0.0608388000179891,0.0644174904568976,0.561935271115238,1.1469223830138,-0.4563411308127,-0.470135139317138,0.95103914921714,0.00119353926975973,4.57267913253922,0,0,0,0,0,0,0,0,0,97,0,0
