"cwithin","chalf","call","date","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY"
63,87,100,2020-01-02 05:17:47,"RVI",63,0.11692281014333,0.25823270726247,0.316482592556869,0.616493574788908,1.37707043609698,0.316482592556869,0.449533690113796,0.0347940472566513,0.0695523094283592,0.0762694206433791,0.276169188439585,0.61434592003477,1.19502393523277,1.98121558580876,0.892911390125546,0.750546750491899,0.867804709213003,6.88673900682431e-06,3.97625779975356
63,89,100,2020-01-04 16:58:50,"RVI",63,0.193499206972757,0.341988303001034,0.44569029988593,0.594168259168843,0.901512718845828,0.44569029988593,0.481310673170684,0.0216520688657328,0.0432818689474452,0.0295351614284856,0.17185796876632,0.357062451231734,0.478544101233577,0.793372420340797,-0.760183206394216,-0.638980577073241,0.952685169898702,0.0167287791958745,4.08135612780714
71,83,107,2020-01-05 16:51:24,"RVI",71,0.105725731549194,0.284693220102555,0.460190754364399,0.610998935009282,1.33365111157999,0.460190754364399,0.48556442020939,0.0317919674017876,0.063407079642345,0.0717617725806192,0.267883878911403,0.551695856949081,1.05325538437997,1.84908351253662,1.00257944055452,0.891163973651446,0.919748426011882,0.000231422613623863,4.12164843839808
64,89,101,2020-01-08 05:17:22,"RVI",64,0.0864177130748985,0.301247136374993,0.414780899067517,0.598143266861127,1.27724530574977,0.414780899067517,0.485429492212058,0.0343728723288664,0.068688704337663,0.0756156385367391,0.274982978630931,0.566473572460253,1.00948824709165,1.68626299256075,0.338994873904694,0.287044802210366,0.907902238019141,0.000161044826367891,4.01138097736497
67,86,101,2020-01-10 16:59:34,"RVI",67,0.0597533572795049,0.295304340233371,0.38491590741095,0.558518602386859,1.08538865708052,0.38491590741095,0.429362622153019,0.0244783865634069,0.0488726756458586,0.0401458243860878,0.200364229307748,0.466655034625583,0.837531518954836,1.43003387279391,0.569112319637195,0.492314885355714,0.949172931554831,0.00826267978386313,4.10074044087374
73,82,105,2020-01-11 16:50:43,"RVI",73,0.113932668024793,0.350296776917468,0.532369615356433,0.767639109974968,1.22170579770295,0.532369615356433,0.575316969058524,0.0310830428842079,0.0619629135306569,0.0705293555107298,0.265573634818537,0.461612726725469,0.570480629435417,1.01498455546825,-0.618693795749195,-0.557158178364803,0.94730373463686,0.00415381927119251,4.18681058556325
67,85,102,2020-01-14 05:17:47,"RVI",67,0.0874249472646172,0.28210539746238,0.366067412016477,0.50741415525621,1.01754695376333,0.366067412016477,0.420319653191068,0.0253148708553951,0.0505427704202547,0.0429364599904972,0.207211148325801,0.492984676668468,0.992766368513004,1.69508788936784,0.345095071095488,0.298527082442187,0.914401959519587,0.000209548692201406,4.09294270246091
65,87,102,2020-01-16 16:58:50,"RVI",65,0.0834266268400503,0.394446840241712,0.577629600477573,0.798882833945118,1.52447747334112,0.577629600477573,0.609670743334264,0.0392740750366495,0.0784589843466129,0.100259443048984,0.316637715771486,0.51935855415959,0.538989793380522,0.907036896962394,-0.242038722453835,-0.206434452103874,0.967672038983336,0.086900451358735,4.03888098701619
71,83,108,2020-01-17 16:51:23,"RVI",71,0.0698013377021694,0.228277029314248,0.463668564109311,0.846754689607671,1.53831756959023,0.463668564109311,0.572641647072704,0.0470353712070069,0.0938090899011884,0.157075156265246,0.396327082427187,0.692103140686986,0.729436546348981,1.2805907392437,-0.570642564758594,-0.507227731763235,0.908608122870303,7.70729195400397e-05,4.03163922865907
66,88,100,2020-01-20 05:17:22,"RVI",66,0.0295779670929543,0.22596397390635,0.364740261664044,0.668971953246177,1.45148378918872,0.364740261664044,0.47227825311289,0.040976582763313,0.0818358867929747,0.11081930210727,0.332895332059899,0.704871185293229,1.06778562570004,1.81009653467303,0.566046332459493,0.486233661516638,0.900457624603779,6.52598774312458e-05,3.96072481286401
72,83,103,2020-01-22 16:59:33,"RVI",72,0.0649354880213885,0.245838969359699,0.411196911405893,0.554966437501379,1.12926503377017,0.411196911405893,0.42443658653811,0.0271742656473249,0.0541839467635586,0.0531677313699394,0.230581290155857,0.543264406201591,0.709140200285563,1.25334936123187,0.134477191973572,0.120320042929105,0.956248546721248,0.0136357009529361,4.13162517442261
71,85,103,2020-01-23 16:50:43,"RVI",71,0.0390539829994545,0.208718476816089,0.335809651830029,0.495352682933621,1.00815384262261,0.335809651830029,0.371898045406713,0.0238082497732973,0.0474840569141821,0.0402451257660076,0.200611878426995,0.539427084666722,0.701030794424082,1.23072191509669,0.179026999696983,0.159131941058574,0.956365252625699,0.0148041075253808,4.11965615425907
70,83,106,2020-01-26 05:17:46,"RVI",70,0.12317742457687,0.323113144379632,0.480079451675793,0.615545587153137,1.28797839519809,0.480079451675793,0.526981193804938,0.034334706319511,0.0684958649511619,0.0825210440632947,0.287264763003218,0.545113879546806,0.920366479270999,1.60482125368766,0.22071909303141,0.194890242092561,0.917924546560611,0.000213847396077724,4.10942696947042
70,80,105,2020-01-28 16:58:49,"RVI",70,0.15540766871514,0.350429786444121,0.52572140358314,0.723527821219272,1.10508392173483,0.52572140358314,0.538811537568008,0.0264736898600283,0.0528135662072344,0.0490599378363474,0.221494780607461,0.41108024822038,0.303164673541883,0.528621068264742,-0.719476460973503,-0.635282338891591,0.973789334280867,0.149145029121721,4.16338742348503
67,87,102,2020-01-29 16:51:23,"RVI",67,0.0732020441316009,0.26429728109719,0.427593839910494,0.629229675539004,1.29967142079907,0.427593839910494,0.483183624854227,0.0342415239327345,0.0683654083348017,0.0785562914028138,0.280278952835945,0.580067159603149,0.840417710478833,1.43496186839679,-0.0419309971743345,-0.0362727239499809,0.927553581718725,0.000773013313047628,4.04573899434646
67,88,102,2020-02-01 05:17:21,"RVI",67,0.0401487539252614,0.265104022439996,0.393143902167304,0.546848217705396,1.09206423441777,0.393143902167304,0.412418704077246,0.0256862011598639,0.0512841552938359,0.0442053223116746,0.210250617862765,0.509798939243516,0.563761190516434,0.962587771754765,0.185747965230097,0.160682672034949,0.969747176698915,0.101750814160948,4.07288978093489
69,82,105,2020-02-03 16:59:33,"RVI",69,0.0618780666983547,0.265617145128649,0.385679504090316,0.586492447166295,0.918440143480523,0.385679504090316,0.437396562639061,0.0271238298031669,0.0541247596736105,0.0507634478801905,0.225307451896715,0.515110248094561,0.455840249578409,0.789370181137204,-0.85815392370366,-0.752640518895811,0.949279704203582,0.00717634722392813,4.10118958021624
64,90,100,2020-02-04 16:50:42,"RVI",64,0.0676685796972463,0.189945323850118,0.395162825573923,0.573573202007705,1.30480843237361,0.395162825573923,0.429355713450321,0.0350214673266446,0.0699848180173994,0.0784962031175192,0.280171738613157,0.652539910000696,0.928036211320048,1.55020439654828,0.559764708028515,0.473982240644622,0.923050372229222,0.000668137945174567,3.95653507437563
66,83,103,2020-02-07 05:17:46,"RVI",66,0.0458794226913336,0.238086560282772,0.364443626198966,0.557482813565529,1.18532486399508,0.364443626198966,0.414997140175014,0.0307750412692282,0.0614620015511039,0.062508808898098,0.250017617175466,0.602456241192477,1.15635095760736,1.96023135248584,0.997105968602658,0.856513783822562,0.897373199050146,4.97899487668548e-05,4.0243119588387
71,81,107,2020-02-09 16:58:49,"RVI",71,0.0650772832843205,0.370787901827318,0.509207058486439,0.635948666587282,1.22969284287874,0.509207058486439,0.5141613834203,0.0262565774601201,0.0523670925145583,0.0489479580542693,0.221241854209978,0.430296520400337,0.552007761684967,0.96909872578034,0.470914606448013,0.418582423454252,0.977240179766108,0.223991362312727,4.16952828792534
