"cwithin","chalf","call","week","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","date"
101,101,101,3,"s1_bs_VH_rAD",101,0.412778063423476,0.768514526571825,1.18662805297109,1.9372321911415,14.8833317508772,1.18662805297109,1.63471061244113,0.169363293559409,0.336011950705212,2.89707644573436,1.70208003505545,1.04121183413235,5.0302136855823,10.4701879930657,34.2686106856115,35.9915401749731,0.551442894285321,4.66962681316804e-16,4.30671467294209,"20200116T165850"
101,101,101,3,"s1_bs_rAD",101,0.429818948460452,1.01631018246112,1.37316632894317,1.70237548493685,2.76944675288477,1.37316632894317,1.41163800903632,0.0528576050904685,0.104867983036855,0.282186568005892,0.531212356789535,0.376309190733803,0.532726387119743,1.10884860378744,-0.225547484813054,-0.236887378816953,0.969208719091047,0.0183349247587983,4.54559516550454,"20200116T165850"
104,104,104,4,"s1_bs_VH_rAD",104,0.284390950017077,0.732823398248103,1.13145821176427,1.50313774334834,4.34440610838596,1.13145821176427,1.20714286091694,0.0603924930998713,0.119774266178453,0.379314335173073,0.615885001581523,0.510200591430994,1.71500408354078,3.62085288536974,5.43842492442736,5.7922798633661,0.879070615615512,1.06077821912533e-07,4.52998314777248,"20200123T165043"
104,104,104,4,"s1_bs_rAD",104,0.440392786770134,0.950679214751766,1.28363909604816,1.60462223924931,3.26478821192278,1.28363909604816,1.31555681651238,0.0489422921944359,0.0970654932722505,0.249116188385536,0.499115405878777,0.379394792846698,0.904016566143808,1.9086316023142,1.66800122576002,1.77653089751111,0.951403480297903,0.000784445564293177,4.57546414417661,"20200123T165043"
103,103,103,5,"s1_bs_VH_rAD",103,0.438394517775449,0.922987718488053,1.21447243581477,1.7977659907753,6.37940268205398,1.21447243581477,1.46186198125069,0.0862417022005999,0.171060007405282,0.766076013441067,0.875257684022864,0.598727988858454,2.48948963241243,5.23138029336445,9.2087943024461,9.76278822883909,0.779533865510873,3.96208256732011e-11,4.49373137987886,"20200201T051721"
103,103,103,5,"s1_bs_rAD",103,0.389345238276439,0.774151470227189,0.98646228683399,1.58914186442341,3.04391534203665,0.98646228683399,1.23956043663045,0.0671537157090515,0.133199076703783,0.464491017953808,0.681535778924194,0.549820532169325,1.03361637615941,2.17202766010286,-0.0252306700460125,-0.0267485275966588,0.871945847871647,5.95531019801974e-08,4.49822562643842,"20200201T051721"
102,102,102,6,"s1_bs_VH_rAD",102,0.265266410976825,0.658494042159991,1.12325520101918,1.947014108159,5.11820773820886,1.12325520101918,1.42690369478808,0.10067353474883,0.199709212058383,1.03378638108005,1.01675286135818,0.712558853881996,1.43420810707322,2.99957027601855,2.11966557181066,2.23673434012625,0.865702980997785,3.7318037080413e-08,4.40316037668843,"20200209T165849"
102,102,102,6,"s1_bs_rAD",102,0.463582573416904,1.0218968161133,1.32905909859769,1.71852768643005,3.36280535424119,1.32905909859769,1.42805304096976,0.0555440556223926,0.110184465168031,0.314684495728311,0.560967464055012,0.392819767866656,0.841804779435631,1.76059009996697,1.17528544433474,1.24019625914313,0.952947693719629,0.00114230497296707,4.55096479474952,"20200209T165849"
102,102,102,7,"s1_bs_VH_rAD",102,0.557067994119531,1.00571019374649,1.36784449012069,2.02262885648751,5.70153472566433,1.36784449012069,1.63739536766284,0.0895394593533868,0.177622201507197,0.817766107692274,0.904304211917801,0.552282136481535,1.74149700314564,3.64224872293542,3.96741760248112,4.18653740057235,0.846346566799472,6.78788377424612e-09,4.49585245994747,"20200216T165042"
102,102,102,7,"s1_bs_rAD",102,0.922298897200238,1.37421638096512,1.65642336690747,1.94460983946848,2.98626971687829,1.65642336690747,1.69141094208232,0.0429095059697986,0.0851209173137981,0.187805021662363,0.433364767444658,0.256214948515786,0.428123232155823,0.8953970594046,-0.171624652812516,-0.181103453140528,0.978352987202702,0.092369319814318,4.59276547633754,"20200216T165042"
