"cwithin","chalf","call","week","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","date"
18,18,18,3,"s1_coh6_VH",18,0.584782190809042,0.671346611435029,0.692379541932195,0.720049982648188,0.796160069260016,0.692379541932195,0.696006869325201,0.0109827329513102,0.0231715410678576,0.00217116761543632,0.0465957896749944,0.066947312919728,-0.026738930572562,-0.0249301067805681,0.471773035270997,0.227295852122063,0.958615115749837,0.575126860900273,2.88824799935422,"20200116T165849"
18,18,18,3,"s1_coh6_VV",18,0.336126250444599,0.382024693263956,0.404959279039042,0.4554673547682,0.532403500524936,0.404959279039042,0.419130772791595,0.0132829303801602,0.0280245334353375,0.0031758523107153,0.0563547008750406,0.134456128095042,0.605933514136312,0.564943581731875,-0.83461848243744,-0.40211140734966,0.922743897238182,0.14457683051654,2.88202561945858,"20200116T165849"
18,18,18,3,"s1_coh6",18,0.49695906442013,0.532728539417548,0.547778132900478,0.586011247769868,0.655179203352385,0.547778132900478,0.557568821058398,0.00947849137571378,0.0199978687588397,0.00161715237767065,0.0402138331631125,0.0721235328165896,0.794261523347826,0.740531657951822,-0.172953756281554,-0.0833275080869043,0.931303971322002,0.204707778107328,2.88795905751608,"20200116T165849"
17,17,17,4,"s1_coh6_VH",17,0.507166803832704,0.664801388334491,0.671645886094811,0.686206599210637,0.700231885121063,0.671645886094811,0.662718774357154,0.010987397787201,0.0232922427937394,0.00205228947228123,0.0453022016273076,0.0683581081149412,-2.31076839408602,-2.10166371290196,5.29503725845078,2.49014677463593,0.686702979985458,8.20450118544627e-05,2.83087376351704,"20200123T165042"
17,17,17,4,"s1_coh6_VV",17,0.307603482475408,0.361434192769445,0.38730032938983,0.409824097756482,0.453664326806568,0.38730032938983,0.386746834623263,0.00972870776887536,0.0206239391538139,0.00160901183248699,0.0401124897318403,0.103717693697259,-0.00528475901312702,-0.00480653373905683,-0.819623645394841,-0.385452089829572,0.979891800840225,0.956112484422794,2.82812850911643,"20200123T165042"
17,17,17,4,"s1_coh6",17,0.479110761780762,0.52095507225167,0.527080623970995,0.534122591992236,0.560877175452616,0.527080623970995,0.524732804490208,0.00502597354900916,0.0106545879602904,0.000429426971960776,0.0207226198141252,0.0394917558742259,-0.453478007367051,-0.412442144838745,-0.211567469920341,-0.099495816011342,0.953562554137331,0.515234741697709,2.83247418094515,"20200123T165042"
16,16,16,5,"s1_coh6_VH",16,0.391337840472319,0.526363481439866,0.559173987985182,0.592374527899122,0.633960372287307,0.559173987985182,0.550490120412308,0.015325457144294,0.0326654386657014,0.00375791418690549,0.0613018285771762,0.111358635339835,-0.927467613810267,-0.821774745875649,0.448470637754512,0.205574522011164,0.925891973159697,0.209708615355894,2.76651053899202,"20200201T051720"
16,16,16,5,"s1_coh6_VV",16,0.222229184936442,0.254457125414625,0.298770632069807,0.347464889690251,0.507809272078779,0.298770632069807,0.312853180864059,0.0201791533944683,0.0430108473324205,0.00651517170747972,0.0807166135778733,0.258001575547177,1.05293330854604,0.932942551492091,0.104790756417151,0.0480350503424401,0.874771800544727,0.0321978414085006,2.74350263500598,"20200201T051720"
16,16,16,5,"s1_coh6",16,0.3849848958798,0.400447427531257,0.427994324491447,0.447170654747122,0.54781234968853,0.427994324491447,0.431671650638184,0.0101724264003771,0.021682013628324,0.00165565214193741,0.0406897056015083,0.0942607779346931,1.23075913647564,1.09050360524859,1.54202988783573,0.706851308495882,0.87754346502151,0.0355392301409966,2.76856937919815,"20200201T051720"
17,17,17,6,"s1_coh6_VH",17,0.582564635229621,0.63547591348561,0.659742526139483,0.679971644483742,0.707470242397557,0.659742526139483,0.654436535561252,0.00900704026130467,0.019094072380239,0.00137915516256898,0.03713697837155,0.0567464931335183,-0.344695628624749,-0.313503636509232,-1.08404354153046,-0.509803311430669,0.958425741363935,0.602104936011084,2.83168576816091,"20200204T165041"
17,17,17,6,"s1_coh6_VV",17,0.350553803691081,0.384724791077637,0.396376360977153,0.436169327177332,0.447073508977641,0.396376360977153,0.403174096876388,0.00772973430216029,0.0163863047087219,0.00101572947049389,0.0318705109857669,0.0790490044690006,-0.0351871440891901,-0.0320030099434321,-1.30268783365779,-0.612627210915889,0.929204703419664,0.211072218462502,2.8302642242863,"20200204T165041"
17,17,17,6,"s1_coh6",17,0.477615617561587,0.511265604377282,0.529305711185053,0.552683676388477,0.574547471597345,0.529305711185053,0.52880531621882,0.00764642912207312,0.0162097056160025,0.000993953931421093,0.0315270349291064,0.0596193607782499,-0.0609139996828755,-0.0554018061995595,-1.36366947580149,-0.641305619033561,0.950035961853432,0.45708948161501,2.83153676160907,"20200204T165041"
17,17,17,7,"s1_coh6_VH",17,0.64126707935616,0.672336670609232,0.706242213078583,0.735295112085127,0.754538249764577,0.706242213078583,0.700576954371034,0.00919292718719817,0.0194881350594965,0.00143666847457516,0.0379034098014303,0.0541031353728433,-0.19154317057214,-0.174210159735581,-1.54030092546743,-0.724371745524535,0.924643667682921,0.176908337225306,2.83182974622982,"20200216T165041"
17,17,17,7,"s1_coh6_VV",17,0.279887865889807,0.36191741147921,0.420326906484875,0.486717106250047,0.548754708976231,0.420326906484875,0.417227130050035,0.0195433193263334,0.0414299862042672,0.00649300261494759,0.0805791698576474,0.193130225850807,-0.0136608420576299,-0.0124246532511371,-1.23330852365443,-0.579999552865774,0.971987610479782,0.852255452582022,2.81542950797877,"20200216T165041"
17,17,17,7,"s1_coh6",17,0.462661605406244,0.522835755575489,0.566783258073574,0.592313040146531,0.632228925940093,0.566783258073574,0.558902042210535,0.0121642179082993,0.0257869900046857,0.00251545935445,0.0501543552889477,0.0897372911549587,-0.286860212505839,-0.260901828518096,-1.09705997303888,-0.515924670612085,0.963251086187341,0.69315802527582,2.82937847970973,"20200216T165041"
18,18,18,8,"s1_coh6_VH",18,0.549620692633211,0.670037958379763,0.706892418293418,0.732897085275039,0.804909886645585,0.706892418293418,0.698275738443032,0.014481991434443,0.0305543311264366,0.00377510536633107,0.0614418860902811,0.0879908647940139,-0.635793743562745,-0.592783839070257,-0.0243973518745739,-0.0117544167836292,0.959132901112592,0.584977225662917,2.88662723794743,"20200221T165848"
18,18,18,8,"s1_coh6_VV",18,0.308287382575721,0.371060798547184,0.420209312621497,0.486426568236199,0.526701179453538,0.420209312621497,0.425668152976864,0.0167914351537261,0.0354268314615093,0.0050751413013922,0.0712400259783234,0.167360479002514,-0.047616325004696,-0.0443951961221449,-1.4942608084179,-0.719920933053866,0.941162282041353,0.303326341349242,2.87700519894686,"20200221T165848"
18,18,18,8,"s1_coh6",18,0.472555327571688,0.503691310596931,0.566183645157673,0.606880154936303,0.639727756615828,0.566183645157673,0.561971945709948,0.0120368144619844,0.0253954586593839,0.00260792824306024,0.0510678787797206,0.0908726479490106,-0.273211801061443,-0.254729685455796,-1.29634898298552,-0.624568859824742,0.9398523080817,0.288103845789643,2.8864280203215,"20200221T165848"
18,18,18,9,"s1_coh6_VH",18,0.472802446043354,0.509532457583487,0.522893280651907,0.552231608190256,0.646922835609469,0.522893280651907,0.532843112811918,0.00941963492781488,0.0198736925082066,0.00159713139911958,0.0399641264025573,0.0750016758059586,1.02533953297677,0.955977800760621,1.28179197951212,0.617555431202373,0.919979969044034,0.129166776776897,2.88777722019264,"20200228T165041"
18,18,18,9,"s1_coh6_VV",18,0.295924465155333,0.353588210679679,0.389682474145557,0.437210283766355,0.496602096874965,0.389682474145557,0.397776050071606,0.013940106354529,0.0294110535434384,0.00349787817316041,0.0591428624024946,0.148683819430174,-0.0266538144847265,-0.0248507485896066,-1.14500949149796,-0.551654903100561,0.968124167690517,0.761766477241893,2.87983950275618,"20200228T165041"
18,18,18,9,"s1_coh6",18,0.410320522630611,0.432730244738256,0.457554779824963,0.500255523144574,0.51707277789071,0.457554779824963,0.465309581441762,0.00809184597480949,0.0170723026910809,0.00117860348304073,0.0343307949666292,0.0737805459759826,0.159329618622621,0.148551356412327,-1.40744782249809,-0.678095245414534,0.938509433552038,0.273211276723642,2.88780794211096,"20200228T165041"
17,17,17,10,"s1_coh6_VH",17,0.0856821611523628,0.212871015071869,0.254646599292755,0.385033816099167,0.48171666264534,0.254646599292755,0.293877774739967,0.0284355254733371,0.0602806211370684,0.0137458448520617,0.117242675046511,0.398950465547288,0.0830044964201924,0.0754933028253653,-1.21388923167817,-0.570867060511124,0.949237811590004,0.444577841362489,2.75459566031675,"20200305T165122"
17,17,17,10,"s1_coh6_VV",17,0.127780258655548,0.140236288309097,0.17934051156044,0.235500484704971,0.350775182247162,0.17934051156044,0.194590507184758,0.0151321692218059,0.032078765722019,0.00389270327107527,0.0623915320462262,0.32062988554209,0.915917608552798,0.833034936270511,-0.0638337377452936,-0.0300196898342327,0.892157699964654,0.0502953426589053,2.78793291184675,"20200305T165122"
17,17,17,10,"s1_coh6",17,0.111492495983839,0.206218689680099,0.275199592113495,0.289433300495148,0.320928074419498,0.275199592113495,0.244234140962362,0.015020428244367,0.0318418854318063,0.00383542549895104,0.0619308121935361,0.253571478375253,-0.689136929755737,-0.626775959977227,-0.828721702523848,-0.389730718384847,0.910674067191048,0.102695057164747,2.80005668408191,"20200305T165122"
18,18,18,11,"s1_coh6_VH",18,0.548662509441855,0.58774561509342,0.654216928412841,0.682573503456705,0.740735440380771,0.654216928412841,0.648392985420854,0.0135125020944069,0.028508887414285,0.00328657883132431,0.0573286911705152,0.08841658139362,-0.121783488671349,-0.113545131075746,-1.15817835256764,-0.557999537648382,0.956878340659208,0.542667695425221,2.8866566092689,"20200311T165041"
