"cwithin","chalf","call","week","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","date"
20,20,20,3,"s1_coh6_VH",20,0.523069178688635,0.596510265371851,0.64004841609525,0.66333868759527,0.697449617381093,0.64004841609525,0.633626046508573,0.00953918581637636,0.0199657453731463,0.00181992132078712,0.0426605358708388,0.0673276234553618,-0.764413456657645,-0.746346881443845,0.00518921943298833,0.00261452293619446,0.93476380905679,0.190615445994372,2.99353461886773,"20200116T165849"
20,20,20,3,"s1_coh6_VV",20,0.375823015929963,0.429739936851644,0.486896520312037,0.549780955166715,0.622802496402772,0.486896520312037,0.491520966464582,0.0165355328135627,0.0346092679312447,0.00546847690856818,0.0739491508306092,0.150449636691007,-0.0226768663248758,-0.0221409085817155,-1.35418248449793,-0.682287810572258,0.949075565029019,0.353275670222083,2.98489651441853,"20200116T165849"
20,20,20,3,"s1_coh6",20,0.486431660854166,0.526829175846082,0.546289915004615,0.603401481191929,0.649144316755441,0.546289915004615,0.562573506486577,0.0108325451025943,0.0226727774701927,0.00234688066799478,0.0484446144374664,0.0861125059728035,0.150801313487713,0.147237190893145,-1.38988766129548,-0.700277414766801,0.939786499827765,0.237561930384134,2.99221873207373,"20200116T165849"
21,21,21,4,"s1_coh6_VH",21,0.566462499313932,0.595067331833264,0.620038386640487,0.641128529360218,0.737725703098129,0.620038386640487,0.633944359245369,0.0108782359900973,0.0226916026460749,0.00248505638338119,0.0498503398522136,0.0786351974352357,0.816793279328043,0.814846212722408,-0.635060904263354,-0.326697240206394,0.884198491862615,0.0174896598585681,3.04163704488775,"20200123T165042"
21,21,21,4,"s1_coh6_VV",21,0.443644857345363,0.477374816095901,0.499318144455184,0.512519983275444,0.544753411465421,0.499318144455184,0.496420141400935,0.00611825107404575,0.0127624481016546,0.000786092920306302,0.0280373486675595,0.0564790715147779,0.0113583785943107,0.0113313025639186,-0.923152779952189,-0.474901640889191,0.96957941591367,0.723703800345097,3.04300201673645,"20200123T165042"
21,21,21,4,"s1_coh6",21,0.524940813496951,0.543810621399029,0.554339018725512,0.584279208984667,0.636466792475406,0.554339018725512,0.565182250323152,0.00668570261018547,0.0139461312641369,0.000938671007228658,0.0306377382851388,0.0542085995581446,0.759372950951216,0.757562762557849,-0.479268325531818,-0.246552162506691,0.920133334318179,0.0873095229765206,3.04314155048294,"20200123T165042"
21,21,21,5,"s1_coh6_VH",21,0.343893865066504,0.396525507024582,0.428076630283213,0.467662785470453,0.543044211489683,0.428076630283213,0.431117672064901,0.0126828016086755,0.0264558605646217,0.00337792258954544,0.058119898395863,0.134812145643414,0.196093077100935,0.195625631675413,-1.00663357849775,-0.517847043939462,0.960036207282651,0.516854164329798,3.03589459921473,"20200201T051720"
21,21,21,5,"s1_coh6_VV",21,0.242256523870491,0.279497778409487,0.336872671328495,0.362206214794224,0.417007666196511,0.336872671328495,0.323669574708067,0.012052883967335,0.0251418753899976,0.00305071225053087,0.0552332531228323,0.170647034626748,0.0763293080914556,0.0761473547740405,-1.4385319279035,-0.740030456354412,0.939697521962038,0.214923899005498,3.03060884286723,"20200201T051720"
21,21,21,5,"s1_coh6",21,0.294999521717424,0.362353795798145,0.381253133812416,0.393324897160145,0.431957697934367,0.381253133812416,0.377393623386484,0.00645981303076745,0.0134749338583526,0.000876312872241931,0.0296025821887539,0.0784395399241769,-0.651447861886002,-0.649894944631058,0.902403709816664,0.464227603321113,0.951407411765439,0.362055413182137,3.04152661454296,"20200201T051720"
19,19,19,6,"s1_coh6_VH",19,0.493234954987134,0.529057129404665,0.561312494374849,0.592724225858709,0.679547984345726,0.561312494374849,0.567832115566113,0.0106655450471179,0.0224074786606736,0.00216132317188992,0.0464900330381676,0.0818728489701896,0.345462900107212,0.329787005739587,-0.337975533591194,-0.166610264391123,0.954450620410625,0.468708003546546,2.94128593908946,"20200204T165041"
19,19,19,6,"s1_coh6_VV",19,0.406307737709175,0.456395507649967,0.483993952103498,0.510101572839378,0.583217658007475,0.483993952103498,0.484190362200327,0.00993762937135085,0.0208781845740177,0.00187637307292437,0.04331712216808,0.0894629995756878,0.206342726519589,0.196979617533226,-0.46554623706436,-0.229498214913407,0.979953850340502,0.941804349655203,2.94065931678477,"20200204T165041"
19,19,19,6,"s1_coh6",19,0.463888422624986,0.500908661349622,0.530481745101471,0.551895915478799,0.586325083070041,0.530481745101471,0.52601123888322,0.00755478208372443,0.0158720081889148,0.00108441991431871,0.0329305316434264,0.0626042358207813,-0.111796203919777,-0.106723284417266,-0.974221670047318,-0.48025763373297,0.97786515640332,0.914814560824897,2.94257527532835,"20200204T165041"
19,19,19,7,"s1_coh6_VH",19,0.402216851443607,0.543642759929265,0.581783337077115,0.652100614986976,0.684559129222449,0.581783337077115,0.58581301147174,0.0172544452267886,0.036250244269092,0.00565660172160073,0.0752103830704294,0.128386330787495,-0.566683460553637,-0.540969353294182,-0.480787012838095,-0.237011390953716,0.925762515460309,0.144643218645648,2.93636456107765,"20200216T165041"
19,19,19,7,"s1_coh6_VV",19,0.379808888825719,0.431488332373418,0.459297568473875,0.507864309613298,0.544009567840495,0.459297568473875,0.46298711124414,0.0114985660861252,0.0241575909215085,0.00251212341870278,0.0501210875650437,0.108255902481514,0.0805249392274537,0.0768710000030181,-1.22912881931645,-0.605918053833937,0.954690303544112,0.472924469457355,2.93888433861869,"20200216T165041"
19,19,19,7,"s1_coh6",19,0.421630389391423,0.511302947384757,0.535544336772961,0.548782512603014,0.596737572614108,0.535544336772961,0.52440006135794,0.00984610350271394,0.0206858958593462,0.00184196932953696,0.0429181701559719,0.0818424201645492,-0.780654767483901,-0.745231393023538,-0.00560716167952036,-0.00276413703673194,0.932686383280463,0.194061050421374,2.94118265797378,"20200216T165041"
19,19,19,8,"s1_coh6_VH",19,0.554333222355954,0.646841176451701,0.68533800106387,0.703945886033186,0.765310668942886,0.68533800106387,0.67260838994426,0.0132054661197676,0.027743654822676,0.00331330237336625,0.057561292318417,0.0855792065323288,-0.376533144988615,-0.359447391916666,-0.672326549390033,-0.331433766701399,0.947007965801667,0.351039138823709,2.9409195956108,"20200221T165848"
19,19,19,8,"s1_coh6_VV",19,0.377957594493648,0.49263405975677,0.514302701197694,0.588587915515157,0.646624397649788,0.514302701197694,0.527112182614767,0.0162314370747988,0.0341009838952303,0.00500573144074991,0.0707511939174875,0.134224167551056,-0.0857957214389688,-0.0819026126100494,-0.868077744696646,-0.427932344744513,0.960362433727012,0.579542828120801,2.9358086080433,"20200221T165848"
19,19,19,8,"s1_coh6",19,0.478609741562481,0.579083485497019,0.594263950786373,0.631089716871627,0.693193036169578,0.594263950786373,0.599860286279514,0.0121798242632275,0.0255888612408772,0.00281861426257899,0.0530906231134933,0.0885049807894016,-0.164567115251513,-0.15709963693686,-0.235443039222536,-0.116065286138033,0.965851020510705,0.691498615617294,2.94069468094468,"20200221T165848"
20,20,20,9,"s1_coh6_VH",20,0.343505942672789,0.4268058615829,0.452420795250597,0.494563826338529,0.553082522353872,0.452420795250597,0.457447725267778,0.0121147991387432,0.0253565660117145,0.00293536716344185,0.0541790288159713,0.118437639588778,-0.289905636571547,-0.283053844596396,-0.660330930378163,-0.332699432977749,0.978676348666539,0.915883201050238,2.98894781231278,"20200228T165041"
20,20,20,9,"s1_coh6_VV",20,0.286857939101254,0.351816433738895,0.374854304011697,0.420366941809481,0.505479977662791,0.374854304011697,0.384092558011819,0.0134018522092806,0.0280503990476495,0.003592192852788,0.0599349051287145,0.156042870080472,0.510501902609293,0.49843641509079,-0.623140861755966,-0.313961684715794,0.934784982712977,0.190793382227254,2.98437959762048,"20200228T165041"
20,20,20,9,"s1_coh6",20,0.38074120671768,0.397216177921956,0.401104137720392,0.45855530944773,0.488948988629506,0.401104137720392,0.420770141639799,0.00786002085524535,0.0164512127181795,0.00123559855689784,0.0351510818737893,0.0835398674839444,0.618747784749635,0.604123953504658,-1.25131490043052,-0.63045927230976,0.859632573371316,0.00776298236448052,2.99247070931301,"20200228T165041"
19,19,19,10,"s1_coh6_VH",19,0.0817405804991722,0.175069972872734,0.226744025945663,0.297845423221588,0.417455911636353,0.226744025945663,0.232408505521323,0.0199703731629457,0.0419561971298708,0.00757750028107876,0.0870488384820772,0.374551001422325,0.271506104273866,0.259186109827453,-0.746569542912583,-0.368032998156249,0.98546020175367,0.986625995379074,2.87659842818226,"20200305T165122"
19,19,19,10,"s1_coh6_VV",19,0.0866484716534615,0.167630456387997,0.198743790388107,0.236963368952274,0.276347041130066,0.198743790388107,0.197394038893675,0.0117773750584454,0.024743346836473,0.00263542470207854,0.0513363876999399,0.260070607945725,-0.342507609010935,-0.326965815384768,-0.861651278862758,-0.42476431905843,0.966981130351272,0.714880936499381,2.9103438777647,"20200305T165122"
19,19,19,10,"s1_coh6",19,0.112998280674219,0.181929739192128,0.211721301078796,0.244769357144833,0.310116127133369,0.211721301078796,0.214901272207499,0.0133094204949568,0.0279620548606905,0.00336567280431995,0.0580144189346058,0.269958471342086,0.0346374596723412,0.0330657332761985,-1.03836529839015,-0.511878226986126,0.967151273639955,0.718394267245178,2.90909723369369,"20200305T165122"
20,20,20,11,"s1_coh6_VH",20,0.571097894966538,0.636435993522039,0.656362982614496,0.685907249507454,0.753107075753279,0.656362982614496,0.660803152750794,0.0090827937117289,0.0190105057198771,0.00164994283219644,0.0406194883300669,0.0614698767113563,0.00824067668916781,0.00804591192682515,-0.0273987730476035,-0.0138045271512624,0.987005235658174,0.99125004899738,2.99393423457737,"20200311T165041"
20,20,20,11,"s1_coh6_VV",20,0.4193814182767,0.471049913507159,0.515615746187099,0.566023216184366,0.646074001649319,0.515615746187099,0.526670238471889,0.0151519614111486,0.0317134197050006,0.00459163869209875,0.067761631415564,0.128660452909151,0.283770601445642,0.277063808322325,-1.07074181339148,-0.539479793831404,0.955104082498135,0.451224296049902,2.9879273011044,"20200311T165041"
20,20,20,11,"s1_coh6",20,0.523927532970576,0.559669178701033,0.586625188007788,0.631384893340476,0.667845844711882,0.586625188007788,0.593736695611341,0.00957604720665981,0.0200428971496885,0.00183401360208354,0.0428253850196766,0.0721285804570011,0.198609176830719,0.193915136452293,-1.26705972850786,-0.638392105882558,0.958966098106186,0.523406980949965,2.99326962767378,"20200311T165041"
19,19,19,12,"s1_coh6_VH",19,0.416011712995876,0.464564961503003,0.484199316435563,0.501835850827627,0.52693440861381,0.484199316435563,0.480934673194675,0.00671748267935934,0.0141129074160035,0.000857366897402362,0.0292808281543122,0.0608831714291055,-0.349047139107777,-0.333208604549429,-0.588765620687352,-0.290241115044071,0.975373119095733,0.876306406116703,2.94266714464036,"20200320T051720"
19,19,19,12,"s1_coh6_VV",19,0.357648047389523,0.419411265592583,0.434586392736105,0.460686560460796,0.527905953100343,0.434586392736105,0.43561530179441,0.0110925718381965,0.0233046286578241,0.00233785784972545,0.0483513996666637,0.110995641033481,-0.0221050855021575,-0.0211020342766522,-0.762101032635337,-0.375689486132168,0.949643378935986,0.38971871908261,2.93856973582764,"20200320T051720"
19,19,19,12,"s1_coh6",19,0.397176638733446,0.44979360979464,0.467878922155391,0.475338678882634,0.512344714004447,0.467878922155391,0.458274987494542,0.0068249622176717,0.0143387135469188,0.000885022076180277,0.0297493206003142,0.0649158723738298,-0.529674705075689,-0.505639925296464,-0.410476898367417,-0.202350933029861,0.939915368303941,0.262770233543584,2.94241470163013,"20200320T051720"
20,20,20,13,"s1_coh6_VH",20,0.424338041472102,0.500996212381595,0.574300446204683,0.609080662905195,0.671488871063673,0.574300446204683,0.55940695686692,0.0158113952728825,0.033093630639901,0.00500000440950664,0.0707107092985683,0.126402985215985,-0.326297539287852,-0.31858564072788,-1.137140493299,-0.572933933474769,0.958015629454253,0.50500967484062,2.98799066146844,"20200328T165848"
20,20,20,13,"s1_coh6_VV",20,0.313709651973032,0.378858735983707,0.430005828284113,0.481036328705559,0.555288454299476,0.430005828284113,0.429666305726899,0.0162121578884252,0.0339324364343393,0.00525668126798454,0.0725029742009563,0.168742517704053,-0.125623964896028,-0.122654897841173,-1.2507660544186,-0.63018274315058,0.952881519922469,0.412956560353019,2.98198280647537,"20200328T165848"
20,20,20,13,"s1_coh6",20,0.391698506650746,0.452841510803554,0.499040043297116,0.540430324184206,0.595713070278841,0.499040043297116,0.49453663129691,0.0140133939912546,0.0293303707075967,0.0039275042230826,0.0626698031198647,0.126724289271585,-0.33971207944929,-0.331683134143641,-1.10667356128699,-0.557583553023618,0.936954263204857,0.209891074476433,2.98794576001017,"20200328T165848"
20,20,20,14,"s1_coh6_VH",20,0.57028865814209,0.627562820911407,0.707774102687836,0.769196629524231,0.868408143520355,0.707774102687836,0.702266117930412,0.0198508143032453,0.0415482318362849,0.00788109657003854,0.0887755403815631,0.126412962429664,0.145720996059994,0.142276944529218,-1.19506576484364,-0.602118852901377,0.959410256449464,0.532135663509657,2.98815320916236,"20200404T165041"
20,20,20,14,"s1_coh6_VV",20,0.384404569864273,0.479578346014023,0.555513769388199,0.628397792577744,0.710391879081726,0.555513769388199,0.555592425167561,0.020973094992715,0.0438971923151429,0.00879741427146892,0.0937945322045423,0.16881895424736,-0.00777870916434162,-0.00759486280088496,-1.25044014061952,-0.630018535582576,0.968965357805966,0.732889578475531,2.98206523279464,"20200404T165041"
