"cwithin","chalf","call","week","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","date"
14,14,14,3,"s1_coh6_VH",14,0.513660790336603,0.576255021658894,0.640840254348841,0.677092419361706,0.695977728528918,0.640840254348841,0.620760769618988,0.016075473824108,0.0347289497873911,0.00361789202137416,0.060148915379865,0.0968954842568149,-0.491112401397476,-0.411055344578656,-1.25537892928655,-0.543901272809884,0.916931826899468,0.198597889111788,2.63461009816787,"20200116T165849"
14,14,14,3,"s1_coh6_VV",14,0.279366154318071,0.346199665296326,0.385949940493084,0.419272954394562,0.552490793423143,0.385949940493084,0.398484788287431,0.0204515780188056,0.0441829481270311,0.00585573860843011,0.0765227979652476,0.192034426945429,0.657382820059408,0.550221743231666,-0.639632605204182,-0.277125081507438,0.910979916893924,0.162834222807649,2.62246904188254,"20200116T165849"
14,14,14,3,"s1_coh6",14,0.470715078478627,0.497467655122446,0.506213846585332,0.532540606898701,0.55762534146174,0.506213846585332,0.50962277895321,0.00687269773726104,0.0148475607769215,0.000661275638628543,0.0257152802556873,0.050459440428679,0.0971612860477362,0.0813228617367652,-1.11122954207789,-0.481447591814847,0.965898105435248,0.817565567715439,2.6378762551534,"20200116T165849"
13,13,13,4,"s1_coh6_VH",13,0.492382417146178,0.535991472074493,0.56179279908103,0.578946187638742,0.596277610238241,0.56179279908103,0.554845555779893,0.00799149900627059,0.0174119805631353,0.000830232732773909,0.0288137594349281,0.0519311349523696,-0.582708523443263,-0.472719809981205,-0.61602696767226,-0.258644812445013,0.956423706711989,0.697876250942479,2.56368954574006,"20200123T165042"
13,13,13,4,"s1_coh6_VV",13,0.269590532319017,0.321928872879361,0.343237385169856,0.362509018105481,0.428044577994818,0.343237385169856,0.340924080699753,0.0132774511375187,0.0289290808837054,0.00229177921321954,0.0478725308837912,0.140419916321346,0.196731101092221,0.159597268590088,-0.881482849040529,-0.370099002361987,0.948572428055934,0.576824008502423,2.55587269207285,"20200123T165042"
13,13,13,4,"s1_coh6",13,0.395010488013826,0.417809901158017,0.458938690261307,0.465515626605373,0.50349538281678,0.458938690261307,0.447884818239823,0.00921754497150954,0.0200833052419596,0.00110452075892341,0.0332343310286729,0.0742028523299429,-0.108683139671051,-0.0881687345671069,-1.25392794909864,-0.526473638710448,0.957138357107316,0.709078859291544,2.56239625395718,"20200123T165042"
12,12,12,5,"s1_coh6_VH",12,0.455278505541513,0.479297887761862,0.494434143256383,0.529643505496669,0.554627758939466,0.494434143256383,0.502773662772175,0.00944029698548893,0.020777953571919,0.00106943048609078,0.0327021480348123,0.0650434787186354,0.205208458768488,0.160997813448561,-1.52981272803751,-0.620741369679193,0.937283639079419,0.463704320502899,2.48297484838199,"20200201T051720"
12,12,12,5,"s1_coh6_VV",12,0.188554051266113,0.218674687301618,0.229869555442675,0.2524334054668,0.272603899545317,0.229869555442675,0.233819884089058,0.00681949670797446,0.0150096110535456,0.000558066424200893,0.0236234295605209,0.101032594608263,-0.0921742671998979,-0.072316002783048,-0.920278364478239,-0.37341489058283,0.980813094405037,0.986675498160744,2.48019353788246,"20200201T051720"
12,12,12,5,"s1_coh6",12,0.321916278403813,0.351245375823597,0.371508795072948,0.381994705066412,0.413615829242392,0.371508795072948,0.368296773430616,0.00689706217931123,0.0151803315048933,0.000570833600463424,0.0238921242350576,0.0648719346968664,-0.0832143945766279,-0.0652864684754418,-0.547302430623759,-0.222075064606086,0.983585891924897,0.994144707483663,2.48297036978224,"20200201T051720"
14,14,14,6,"s1_coh6_VH",14,0.564753939132669,0.603581425069328,0.622943220966363,0.644574293185835,0.656480228451871,0.622943220966363,0.622701688544783,0.00684116154782997,0.0147794309817303,0.000655220878529102,0.0255972826395518,0.0411068142425808,-0.539177762223738,-0.451285490265298,-0.485989483355349,-0.210558176820296,0.949027339371169,0.54570889065397,2.63826592956469,"20200204T165041"
14,14,14,6,"s1_coh6_VV",14,0.292251119375799,0.337914381173507,0.398298697552197,0.454803576044768,0.487256865141067,0.398298697552197,0.392423993221039,0.0165012307278127,0.0356487416574272,0.00381206861745513,0.0617419518435815,0.157334803452765,-0.138082965876096,-0.115573829854693,-1.42706956158944,-0.61828738146645,0.946792130595296,0.512100377675301,2.62739048072338,"20200204T165041"
14,14,14,6,"s1_coh6",14,0.461488708800803,0.472249940952145,0.502468878726786,0.536182083897418,0.566370933814339,0.502468878726786,0.507562840882911,0.00928742388878943,0.0200642594686245,0.00120758739486079,0.0347503581975897,0.0684651345578039,0.151237638718082,0.126584137398334,-1.58804610455953,-0.688031539641647,0.926242749356441,0.270072316028515,2.63688654721728,"20200204T165041"
14,14,14,7,"s1_coh6_VH",14,0.500176738497662,0.558018472483533,0.574350897670479,0.589008502637112,0.645300847192544,0.574350897670479,0.574221328961764,0.00924525417369185,0.0199731573378757,0.00119664614630633,0.0345925735715967,0.0602425786484503,-0.0532168330973911,-0.0445418678167905,0.0137589937631026,0.00596117558272845,0.974737129885908,0.932774198208988,2.63736706936088,"20200216T165041"
14,14,14,7,"s1_coh6_VV",14,0.202886782561122,0.235404687592032,0.293114794951519,0.360641853322766,0.408651022694399,0.293114794951519,0.297773244054812,0.0182662134141955,0.0394617549322882,0.00467116373490112,0.068345912349614,0.22952334944181,0.150224953561301,0.125736531748617,-1.60070637542757,-0.693516686220579,0.931718623148436,0.322498681266729,2.61458309450017,"20200216T165041"
